HR_Inicio;HR_Fim;IP;Status
23:58:14;00:00:08;192.1.224.13;Rodou até o final.
00:00:08;00:00:59;192.1.224.14;Falha nos comandos do Telnet.
00:00:59;00:01:36;192.1.224.15;Falha nos comandos do Telnet.
00:01:36;00:02:14;192.1.237.11;Falha nos comandos do Telnet.
00:02:14;00:02:51;192.1.237.13;Falha nos comandos do Telnet.
00:02:51;00:04:05;192.1.237.14;Rodou até o final.
00:04:06;00:05:10;192.1.237.15;Falha nos comandos do Telnet.
00:05:11;00:06:51;192.1.237.16;Rodou até o final.
00:06:51;00:07:28;192.200.34.11;Falha nos comandos do Telnet.
00:07:28;00:07:41;192.200.34.13;Falha nos comandos do Telnet.
00:07:41;00:08:18;192.200.34.14;Falha nos comandos do Telnet.
00:08:18;00:08:55;192.200.34.15;Falha nos comandos do Telnet.
00:08:55;00:09:33;192.200.73.11;Falha nos comandos do Telnet.
00:09:33;00:10:10;192.200.73.13;Falha nos comandos do Telnet.
00:10:10;00:11:42;192.200.73.14;Falha nos comandos do Telnet.
00:11:42;00:13:16;192.200.73.15;Rodou até o final.
00:13:16;00:13:53;192.200.73.16;Falha nos comandos do Telnet.
00:13:53;00:14:31;192.200.73.17;Falha nos comandos do Telnet.
00:14:31;00:15:08;192.200.84.11;Falha nos comandos do Telnet.
00:15:08;00:15:46;192.200.84.13;Falha nos comandos do Telnet.
00:15:46;00:16:53;192.200.84.14;Rodou até o final.
00:16:53;00:18:44;192.200.84.15;Falha nos comandos do Telnet.
00:18:44;00:19:21;192.200.84.16;Falha nos comandos do Telnet.
00:19:21;00:20:40;192.200.84.17;Falha nos comandos do Telnet.
00:20:40;00:21:18;192.200.85.11;Falha nos comandos do Telnet.
00:21:18;00:21:55;192.200.85.13;Falha nos comandos do Telnet.
00:21:55;00:22:32;192.200.85.14;Falha nos comandos do Telnet.
00:22:32;00:22:37;192.200.85.15;Falha na abertura no Login/Senha do Radmin.
00:22:37;00:23:53;192.200.87.11;Rodou até o final.
00:23:53;00:25:40;192.200.87.13;Rodou até o final.
00:25:40;00:27:31;192.200.87.14;Falha nos comandos do Telnet.
00:27:31;00:28:08;192.200.87.15;Falha nos comandos do Telnet.
00:28:08;00:28:46;192.200.87.16;Falha nos comandos do Telnet.
00:28:46;00:29:44;192.200.87.17;Falha nos comandos do Telnet.
00:29:44;00:30:21;192.200.132.11;Falha nos comandos do Telnet.
00:30:21;00:31:36;192.200.132.13;Rodou até o final.
00:31:36;00:32:13;192.200.132.14;Falha nos comandos do Telnet.
00:32:13;00:32:18;192.200.132.15;Falha na abertura no Login/Senha do Radmin.
00:32:18;00:34:25;192.200.132.16;Rodou até o final.
00:34:25;00:35:03;192.200.144.11;Falha nos comandos do Telnet.
00:35:03;00:35:08;192.200.144.13;Falha na abertura no Login/Senha do Radmin.
00:35:08;00:36:16;192.200.144.14;Rodou até o final.
00:36:16;00:36:54;192.200.144.15;Falha nos comandos do Telnet.
00:36:54;00:37:32;192.200.144.16;Falha nos comandos do Telnet.
00:37:32;00:38:58;192.200.144.17;Falha nos comandos do Telnet.
00:38:58;00:39:50;192.200.159.11;Falha nos comandos do Telnet.
00:39:50;00:40:27;192.200.159.13;Falha nos comandos do Telnet.
00:40:27;00:41:05;192.200.159.14;Falha nos comandos do Telnet.
00:41:05;00:42:19;192.200.159.15;Rodou até o final.
00:42:19;00:42:57;192.200.159.16;Falha nos comandos do Telnet.
00:42:57;00:43:34;192.200.159.17;Falha nos comandos do Telnet.
00:43:34;00:44:12;192.200.171.11;Falha nos comandos do Telnet.
00:44:12;00:45:33;192.200.171.13;Rodou até o final.
00:45:33;00:45:38;192.200.171.14;Falha na abertura no Login/Senha do Radmin.
00:45:38;00:46:30;192.200.171.15;Falha nos comandos do Telnet.
00:46:30;00:48:44;192.200.171.16;Rodou até o final.
00:48:44;00:49:21;192.200.171.17;Falha nos comandos do Telnet.
00:49:21;00:50:13;192.200.171.18;Falha nos comandos do Telnet.
00:50:13;00:51:05;192.200.177.11;Falha nos comandos do Telnet.
00:51:05;00:51:50;192.200.177.13;Falha nos comandos do Telnet.
00:51:50;00:52:27;192.200.177.14;Falha nos comandos do Telnet.
00:52:27;00:53:05;192.200.177.15;Falha nos comandos do Telnet.
00:53:05;00:53:42;192.200.177.16;Falha nos comandos do Telnet.
00:53:42;00:54:27;192.200.177.17;Falha nos comandos do Telnet.
00:54:27;00:55:49;192.200.182.11;Rodou até o final.
00:55:49;00:56:26;192.200.182.13;Falha nos comandos do Telnet.
00:56:26;00:57:04;192.200.182.14;Falha nos comandos do Telnet.
00:57:04;00:57:09;192.200.182.15;Falha na abertura no Login/Senha do Radmin.
00:57:09;00:57:46;192.200.182.16;Falha nos comandos do Telnet.
00:57:46;00:58:24;192.200.182.17;Falha nos comandos do Telnet.
00:58:24;00:58:29;192.200.182.18;Falha na abertura no Login/Senha do Radmin.
00:58:29;00:59:07;10.240.201.11;Falha nos comandos do Telnet.
00:59:07;01:00:21;10.240.201.13;Rodou até o final.
01:00:21;01:00:59;10.240.201.14;Falha nos comandos do Telnet.
01:00:59;01:01:41;10.240.201.15;Falha nos comandos do Telnet.
01:01:41;01:02:26;10.240.201.16;Falha nos comandos do Telnet.
01:02:26;01:03:26;10.240.203.11;Rodou até o final.
01:03:26;01:04:03;10.240.203.13;Falha nos comandos do Telnet.
01:04:03;01:04:48;10.240.203.14;Falha nos comandos do Telnet.
01:04:48;01:06:02;10.240.203.15;Rodou até o final.
01:06:02;01:06:40;10.240.203.16;Falha nos comandos do Telnet.
01:06:40;01:07:48;10.240.203.17;Rodou até o final.
01:07:48;01:08:25;10.240.203.18;Falha nos comandos do Telnet.
01:08:25;01:09:46;10.240.205.11;Rodou até o final.
01:09:46;01:10:37;10.240.205.13;Falha nos comandos do Telnet.
01:10:37;01:11:42;10.240.205.14;Falha nos comandos do Telnet.
01:11:42;01:12:33;10.240.205.15;Falha nos comandos do Telnet.
01:12:33;01:14:15;10.240.205.16;Rodou até o final.
01:14:15;01:14:20;10.240.205.17;Falha na abertura no Login/Senha do Radmin.
01:14:20;01:15:44;10.240.209.11;Falha nos comandos do Telnet.
01:15:44;01:17:42;10.240.209.13;Falha nos comandos do Telnet.
01:17:42;01:18:48;10.240.209.14;Falha nos comandos do Telnet.
01:18:48;01:20:06;10.240.209.15;Falha nos comandos do Telnet.
01:20:06;01:21:30;10.240.209.16;Falha nos comandos do Telnet.
01:21:30;01:22:51;10.240.209.17;Rodou até o final.
01:22:51;01:23:28;10.240.211.11;Falha nos comandos do Telnet.
01:23:28;01:24:20;10.240.211.13;Falha nos comandos do Telnet.
01:24:20;01:25:05;10.240.211.14;Falha nos comandos do Telnet.
01:25:05;01:25:10;10.240.211.15;Falha na abertura no Login/Senha do Radmin.
01:25:10;01:27:28;10.240.211.16;Falha nos comandos do Telnet.
01:27:28;01:28:05;10.240.211.17;Falha nos comandos do Telnet.
01:28:05;01:28:10;10.240.214.11;Falha na abertura no Login/Senha do Radmin.
01:28:10;01:28:47;10.240.214.13;Falha nos comandos do Telnet.
01:28:47;01:28:53;10.240.214.14;Falha na abertura no Login/Senha do Radmin.
01:28:53;01:29:38;10.240.214.15;Falha nos comandos do Telnet.
01:29:38;01:30:46;10.240.214.16;Rodou até o final.
01:30:46;01:31:23;10.240.214.17;Falha nos comandos do Telnet.
01:31:23;01:31:28;10.240.215.11;Falha na abertura no Login/Senha do Radmin.
01:31:28;01:31:33;10.240.215.13;Falha na abertura no Login/Senha do Radmin.
01:31:33;01:31:38;10.240.215.14;Falha na abertura no Login/Senha do Radmin.
01:31:38;01:31:43;10.240.215.15;Falha na abertura no Login/Senha do Radmin.
01:31:43;01:31:49;10.240.215.16;Falha na abertura no Login/Senha do Radmin.
01:31:49;01:32:26;10.240.216.11;Falha nos comandos do Telnet.
01:32:26;01:33:04;10.240.216.13;Falha nos comandos do Telnet.
01:33:04;01:33:49;10.240.216.14;Falha nos comandos do Telnet.
01:33:49;01:34:27;10.240.216.15;Falha nos comandos do Telnet.
01:34:27;01:35:04;10.240.232.11;Falha nos comandos do Telnet.
01:35:04;01:35:10;10.240.232.13;Falha na abertura no Login/Senha do Radmin.
01:35:10;01:35:47;10.240.232.14;Falha nos comandos do Telnet.
01:35:47;01:36:25;10.240.232.15;Falha nos comandos do Telnet.
01:36:25;01:37:32;10.240.232.16;Rodou até o final.
