HR_Inicio;HR_Fim;IP;Status
01:37:32;01:38:40;192.200.212.11;Rodou até o final.
01:38:40;01:39:51;192.200.212.13;Falha nos comandos do Telnet.
01:39:51;01:39:57;192.200.212.14;Falha na abertura no Login/Senha do Radmin.
01:39:57;01:40:49;192.200.212.15;Falha nos comandos do Telnet.
01:40:49;01:41:41;192.200.212.16;Falha nos comandos do Telnet.
01:41:41;01:41:46;192.200.212.17;Falha na abertura no Login/Senha do Radmin.
01:41:46;01:41:51;192.200.212.18;Falha na abertura no Login/Senha do Radmin.
01:41:51;01:43:52;192.200.212.19;Rodou até o final.
01:43:52;01:45:06;192.200.202.11;Rodou até o final.
01:45:06;01:45:44;192.200.202.13;Falha nos comandos do Telnet.
01:45:44;01:47:31;192.200.202.14;Rodou até o final.
01:47:31;01:47:39;192.200.202.15;Falha nos comandos do Telnet.
01:47:39;01:48:31;192.200.202.16;Falha nos comandos do Telnet.
03:22:27;03:23:11;192.1.6.11;Falha nos comandos do Telnet.
03:23:11;03:23:55;192.1.6.13;Falha nos comandos do Telnet.
03:23:55;03:24:37;192.1.6.16;Falha nos comandos do Telnet.
03:24:37;03:25:22;192.1.18.11;Falha nos comandos do Telnet.
03:25:22;03:26:30;192.1.18.15;Rodou até o final.
03:26:30;03:26:35;192.1.26.14;Falha na abertura no Login/Senha do Radmin.
03:26:35;03:27:42;192.1.26.15;Rodou até o final.
03:27:42;03:27:47;192.1.26.17;Falha na abertura no Login/Senha do Radmin.
03:27:47;03:28:24;192.1.27.11;Falha nos comandos do Telnet.
03:28:24;03:29:32;192.1.27.13;Rodou até o final.
03:29:32;03:30:39;192.1.34.13;Falha nos comandos do Telnet.
03:30:39;03:30:40;192.1.34.14;Falha na abertura do Telnet do Radmin.
03:30:40;03:30:41;192.1.34.15;Falha na abertura do Telnet do Radmin.
03:30:41;03:30:42;192.1.34.17;Falha na abertura do Telnet do Radmin.
03:30:42;03:30:43;192.1.35.13;Falha na abertura do Telnet do Radmin.
03:30:43;03:30:44;192.1.35.14;Falha na abertura do Telnet do Radmin.
03:30:44;03:30:44;192.1.35.16;Falha na abertura do Telnet do Radmin.
03:30:44;03:30:46;192.1.35.17;Falha na abertura do Telnet do Radmin.
03:30:46;03:30:47;192.1.37.11;Falha na abertura do Telnet do Radmin.
03:30:47;03:30:47;192.1.37.13;Falha na abertura do Telnet do Radmin.
03:30:47;03:30:48;192.1.37.14;Falha na abertura do Telnet do Radmin.
03:30:48;03:30:49;192.1.37.16;Falha na abertura do Telnet do Radmin.
03:30:49;03:30:50;192.1.37.17;Falha na abertura do Telnet do Radmin.
03:30:50;03:30:51;192.1.93.11;Falha na abertura do Telnet do Radmin.
03:30:51;03:30:52;192.1.93.13;Falha na abertura do Telnet do Radmin.
03:30:52;03:30:53;192.1.93.15;Falha na abertura do Telnet do Radmin.
03:30:53;03:30:54;192.1.102.11;Falha na abertura do Telnet do Radmin.
03:30:54;03:30:55;192.1.102.13;Falha na abertura do Telnet do Radmin.
03:30:55;03:30:56;192.1.102.14;Falha na abertura do Telnet do Radmin.
03:30:56;03:31:33;192.1.102.16;Falha nos comandos do Telnet.
03:31:33;03:31:38;192.1.102.17;Falha na abertura no Login/Senha do Radmin.
03:31:38;03:31:43;192.1.102.18;Falha na abertura no Login/Senha do Radmin.
03:31:43;03:32:28;192.1.102.19;Falha nos comandos do Telnet.
03:32:28;03:33:35;192.1.108.11;Rodou até o final.
03:33:35;03:34:26;192.1.108.13;Falha nos comandos do Telnet.
03:34:26;03:35:53;192.1.108.14;Rodou até o final.
16:20:45;16:21:45;192.1.31.70;Rodou até o final.
16:21:45;16:22:45;192.1.40.70;Rodou até o final.
16:22:45;16:22:54;192.1.42.70;Falha na abertura no Login/Senha do Radmin.
16:22:55;16:23:02;192.1.45.70;Falha na abertura no Login/Senha do Radmin.
16:23:02;16:24:01;192.1.46.70;Rodou até o final.
16:24:01;16:24:08;192.1.49.70;Falha na abertura no Login/Senha do Radmin.
16:24:08;16:24:16;192.1.97.70;Falha na abertura no Login/Senha do Radmin.
16:24:16;16:24:24;10.140.106.70;Falha na abertura no Login/Senha do Radmin.
16:24:24;16:25:23;192.1.109.70;Rodou até o final.
